walker	A	B	C	D	E	log_l	log_p
12	2.146390170e+00	1.582873861e+00	-2.904457889e-01	8.827325052e-02	-8.732721350e-01	1.553029846e+01	4.082199452e-02
13	2.122453003e+00	1.502829107e+00	-1.633117622e-01	8.911229546e-02	-8.960151093e-01	1.436627431e+01	4.082199452e-02
14	2.121582874e+00	1.608662246e+00	-3.115921634e-01	8.424432029e-02	-8.958670323e-01	1.541053875e+01	4.082199452e-02
15	2.109803778e+00	1.589470708e+00	-2.913426267e-01	8.878731619e-02	-8.861129297e-01	1.535337009e+01	4.082199452e-02
16	1.907347467e+00	1.617174606e+00	-2.308589261e-01	9.282494331e-02	-8.443334894e-01	1.407988226e+01	4.082199452e-02
17	1.852718346e+00	1.513207272e+00	-2.099085244e-01	9.946773272e-02	-9.182597846e-01	1.340821941e+01	4.082199452e-02
18	2.110314813e+00	1.589816144e+00	-2.419577808e-01	9.245518545e-02	-9.363540908e-01	1.489175956e+01	4.082199452e-02
19	1.885353753e+00	1.487299772e+00	-5.653618450e-02	1.051964327e-01	-6.882340751e-01	1.376058329e+01	4.082199452e-02
20	2.071514254e+00	1.584824290e+00	-2.741899857e-01	9.361015266e-02	-8.510957300e-01	1.522878445e+01	4.082199452e-02
21	1.936163211e+00	1.513392288e+00	-6.832598623e-02	1.021796596e-01	-7.741773052e-01	1.321958354e+01	4.082199452e-02
22	2.010614989e+00	1.539568143e+00	-1.587183290e-01	9.780149145e-02	-8.209340256e-01	1.444251163e+01	4.082199452e-02
23	2.117937415e+00	1.556408540e+00	-2.054800723e-01	9.395923240e-02	-9.297959092e-01	1.466213977e+01	4.082199452e-02
24	1.776757333e+00	1.553899664e+00	-3.547510263e-01	1.061787944e-01	-6.489080339e-01	1.377243380e+01	4.082199452e-02
25	1.787658509e+00	1.326392119e+00	-1.817102879e-01	1.152640419e-01	-5.232909691e-01	1.966143382e+01	4.082199452e-02
26	2.084671904e+00	1.738590229e+00	-4.651592154e-01	8.647532979e-02	-9.128830428e-01	1.398559445e+01	4.082199452e-02
27	2.231348108e+00	1.775028729e+00	-5.971078858e-01	7.913038984e-02	-1.015156017e+00	1.127428900e+01	4.082199452e-02
28	2.145999006e+00	1.712146312e+00	-4.588057556e-01	8.530630596e-02	-9.494747143e-01	1.460698959e+01	4.082199452e-02
29	2.101140819e+00	1.719648347e+00	-4.772116412e-01	9.005912770e-02	-9.413406593e-01	1.397993411e+01	4.082199452e-02
30	2.005032711e+00	1.778910977e+00	-4.850404388e-01	8.664672294e-02	-8.558841750e-01	1.299784481e+01	4.082199452e-02
31	2.082883381e+00	1.738553989e+00	-4.657222369e-01	8.607087931e-02	-9.070191070e-01	1.399631111e+01	4.082199452e-02
32	2.083824289e+00	1.778665189e+00	-4.685131535e-01	8.198461146e-02	-9.753676210e-01	1.266205106e+01	4.082199452e-02
33	2.072159021e+00	1.745270502e+00	-4.649626411e-01	8.629092098e-02	-9.033954411e-01	1.387687921e+01	4.082199452e-02
34	2.146836198e+00	1.710660252e+00	-4.571486610e-01	8.538526847e-02	-9.492854958e-01	1.464531376e+01	4.082199452e-02
35	2.146229864e+00	1.658236838e+00	-3.917463153e-01	8.647537018e-02	-9.342886104e-01	1.549431933e+01	4.082199452e-02
36	2.320242552e+00	1.618930747e+00	-4.539372166e-01	8.250664416e-02	-1.036164231e+00	1.698787227e+01	4.082199452e-02
37	2.284773936e+00	1.639807224e+00	-4.559872159e-01	8.304809745e-02	-1.019834699e+00	1.639985406e+01	4.082199452e-02
38	2.318047821e+00	1.665214300e+00	-4.752283781e-01	8.187978320e-02	-1.072203705e+00	1.595840730e+01	4.082199452e-02
39	2.435414229e+00	1.598639804e+00	-4.376034616e-01	8.152346626e-02	-1.140441122e+00	1.730352309e+01	4.082199452e-02
40	2.378448955e+00	1.674225407e+00	-5.072477710e-01	8.119829490e-02	-1.122751535e+00	1.517681747e+01	4.082199452e-02
41	2.305527116e+00	1.652486307e+00	-4.351736570e-01	8.366030262e-02	-1.068195996e+00	1.616801479e+01	4.082199452e-02
42	2.252700407e+00	1.659469720e+00	-4.490454168e-01	8.386099967e-02	-1.013007810e+00	1.595448355e+01	4.082199452e-02
43	2.288712609e+00	1.645051904e+00	-4.339698954e-01	8.373826690e-02	-1.043368264e+00	1.641506791e+01	4.082199452e-02
44	2.390760021e+00	1.645076521e+00	-4.585215904e-01	7.844021346e-02	-1.142713148e+00	1.607802846e+01	4.082199452e-02
45	2.321452156e+00	1.656759513e+00	-4.643470425e-01	8.232794536e-02	-1.070442501e+00	1.621852136e+01	4.082199452e-02
46	2.295455040e+00	1.646332807e+00	-4.452750366e-01	8.336318300e-02	-1.044724959e+00	1.643179990e+01	4.082199452e-02
47	2.487577184e+00	1.669814588e+00	-5.525054017e-01	7.885332143e-02	-1.238814385e+00	1.273034277e+01	4.082199452e-02
48	2.294968993e+00	1.647085869e+00	-4.390788010e-01	8.356118102e-02	-1.048902835e+00	1.639571925e+01	4.082199452e-02
49	2.294759145e+00	1.645907653e+00	-4.459729561e-01	8.334265455e-02	-1.043103309e+00	1.643915484e+01	4.082199452e-02
0	2.042592022e+00	1.501518238e+00	-2.689815870e-01	1.027509294e-01	-5.535634484e-01	1.670208210e+01	4.082199452e-02
1	1.908533404e+00	1.460872746e+00	-2.822940671e-01	1.075220880e-01	-4.573762142e-01	1.781112233e+01	4.082199452e-02
2	1.880405977e+00	1.623233289e+00	-1.458669760e-01	9.632050101e-02	-9.068752932e-01	1.234078873e+01	4.082199452e-02
3	1.989941345e+00	1.281600617e+00	-3.009114972e-01	1.374829550e-01	-3.881765802e-01	1.554334615e+01	4.082199452e-02
4	2.264634711e+00	1.578624559e+00	-1.654700341e-01	9.756461281e-02	-5.967655187e-01	1.240093140e+01	4.082199452e-02
5	2.224057096e+00	1.472001020e+00	-2.664100286e-01	1.027555437e-01	-7.882324322e-01	1.661452158e+01	4.082199452e-02
6	2.545338203e+00	1.568932012e+00	-5.674183652e-01	8.719874257e-02	-1.022959256e+00	1.696778075e+01	4.082199452e-02
7	2.206186376e+00	1.568801013e+00	-2.452798701e-01	9.310024932e-02	-9.457310609e-01	1.521742947e+01	4.082199452e-02
8	2.069948511e+00	1.503735244e+00	-3.023802711e-01	9.799718917e-02	-6.632753865e-01	1.567910340e+01	4.082199452e-02
