walker	A	B	C	D	E	log_l	log_p
41	1.399703678e+00	1.647782694e+00	-7.511250078e-01	1.370198046e-01	-6.134962008e-01	8.040229648e+00	4.082199452e-02
42	1.824641215e+00	1.642363486e+00	-6.995133983e-01	1.169669765e-01	-5.877470641e-01	8.593309071e+00	4.082199452e-02
43	1.356717912e+00	1.715510865e+00	-7.883030162e-01	1.269554158e-01	-6.884984040e-01	6.535128635e+00	4.082199452e-02
44	1.143163978e+00	1.757359018e+00	-8.738289773e-01	1.293331567e-01	-6.465207518e-01	6.037717793e+00	4.082199452e-02
45	1.083370891e+00	1.735862899e+00	-8.076321457e-01	1.283674139e-01	-7.319318694e-01	5.512533315e+00	4.082199452e-02
46	1.265528022e+00	1.766334715e+00	-9.270654573e-01	1.294947100e-01	-5.701115106e-01	6.580024094e+00	4.082199452e-02
47	1.176576484e+00	1.790467289e+00	-9.588376454e-01	1.305593198e-01	-5.642723868e-01	5.737951881e+00	4.082199452e-02
48	1.501405912e+00	1.738068051e+00	-8.926681616e-01	1.229041206e-01	-5.758167071e-01	7.356718194e+00	4.082199452e-02
49	1.373922475e+00	1.756416649e+00	-9.187189144e-01	1.260311599e-01	-5.690238907e-01	6.975321935e+00	4.082199452e-02
0	2.344820030e+00	1.588121241e+00	-4.688796571e-01	8.873248390e-02	-8.498267156e-01	1.008186989e+01	4.082199452e-02
1	2.180184565e+00	1.573227853e+00	-4.677284437e-01	9.107043981e-02	-8.702439405e-01	9.344787662e+00	4.082199452e-02
2	2.220986383e+00	1.562165352e+00	-4.240205225e-01	1.023359258e-01	-8.809036779e-01	1.008440213e+01	4.082199452e-02
3	2.169794586e+00	1.650461233e+00	-8.851639314e-01	5.117126552e-02	-2.848086192e-01	8.546811342e+00	4.082199452e-02
4	2.696658074e+00	1.639020861e+00	-4.973545689e-01	9.198336425e-02	-7.645863206e-01	7.617960066e+00	4.082199452e-02
5	2.316383218e+00	1.517393360e+00	-4.179315788e-01	1.148983029e-01	-8.799901091e-01	1.035202848e+01	4.082199452e-02
6	1.983981029e+00	1.558074278e+00	-5.665944314e-01	9.860084891e-02	-9.070536989e-01	6.479524572e+00	4.082199452e-02
7	2.292566676e+00	1.554954259e+00	-3.198555849e-01	1.230534853e-01	-9.314371468e-01	9.271563078e+00	4.082199452e-02
8	2.286431459e+00	1.561780336e+00	-3.898346939e-01	1.114646684e-01	-8.925936627e-01	1.021872863e+01	4.082199452e-02
9	2.230448008e+00	1.555822858e+00	-3.555162036e-01	1.235064615e-01	-8.803589168e-01	9.969522556e+00	4.082199452e-02
10	2.347765883e+00	1.541934627e+00	-3.196002831e-01	9.715646572e-02	-9.881117440e-01	9.853800759e+00	4.082199452e-02
11	2.350315679e+00	1.541711926e+00	-3.410820802e-01	1.195093391e-01	-8.895310648e-01	9.661000646e+00	4.082199452e-02
12	2.244687924e+00	1.588328123e+00	-4.147214226e-01	1.066048352e-01	-9.798637514e-01	1.003300358e+01	4.082199452e-02
13	2.188400007e+00	1.447082370e+00	-1.555392245e-01	1.324586958e-01	-1.064057553e+00	6.978998191e+00	4.082199452e-02
14	2.387770456e+00	1.539889009e+00	-2.848488853e-01	1.040626925e-01	-9.925759536e-01	8.788345845e+00	4.082199452e-02
15	2.355794394e+00	1.575861737e+00	-3.344387522e-01	1.217249634e-01	-8.577905166e-01	9.205365457e+00	4.082199452e-02
16	2.260561200e+00	1.590748657e+00	-4.533260736e-01	1.458901479e-01	-6.526836658e-01	9.738320361e+00	4.082199452e-02
17	1.995708518e+00	1.467497287e+00	-3.306521100e-01	1.749404192e-01	-7.451509002e-01	7.951339341e+00	4.082199452e-02
18	2.304847548e+00	1.592603368e+00	-4.757256701e-01	1.361771480e-01	-7.050737644e-01	1.006841777e+01	4.082199452e-02
19	2.277034661e+00	1.566319629e+00	-4.209773973e-01	1.390485563e-01	-7.510569163e-01	9.949896352e+00	4.082199452e-02
20	2.292413585e+00	1.587609144e+00	-4.653567002e-01	1.309917883e-01	-7.248523366e-01	1.021331587e+01	4.082199452e-02
21	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
22	2.276477148e+00	1.564566454e+00	-4.147789284e-01	1.369524911e-01	-7.660554531e-01	9.990147711e+00	4.082199452e-02
23	2.255914988e+00	1.542156115e+00	-3.777370064e-01	1.487024686e-01	-7.621439757e-01	9.320443085e+00	4.082199452e-02
24	2.363432865e+00	1.481157827e+00	-3.468925479e-01	1.407861989e-01	-6.602077029e-01	9.170699446e+00	4.082199452e-02
25	1.911429399e+00	1.240538025e+00	-1.079530945e-01	1.212811535e-01	-8.216739128e-01	9.929676345e+00	4.082199452e-02
26	2.401415991e+00	1.711215396e+00	-7.135344899e-01	1.011497901e-01	-5.767719017e-01	8.673663481e+00	4.082199452e-02
27	2.432514875e+00	1.741442455e+00	-7.663789998e-01	9.347183317e-02	-5.558698012e-01	7.878995488e+00	4.082199452e-02
28	2.569173098e+00	1.651316721e+00	-6.299672596e-01	9.531865260e-02	-6.297766622e-01	8.817471807e+00	4.082199452e-02
29	2.418384928e+00	1.781414846e+00	-9.269546534e-01	8.041584929e-02	-3.595525636e-01	6.355946095e+00	4.082199452e-02
30	2.354404023e+00	1.653036945e+00	-5.908999599e-01	1.154769971e-01	-6.595758588e-01	9.773315253e+00	4.082199452e-02
31	2.747321971e+00	1.725388720e+00	-6.612927680e-01	9.212923569e-02	-5.943675121e-01	6.309761544e+00	4.082199452e-02
32	2.356597998e+00	1.684988611e+00	-6.036215876e-01	1.114764991e-01	-6.778805347e-01	9.455956487e+00	4.082199452e-02
33	2.374694559e+00	1.741439225e+00	-7.256553224e-01	1.076301285e-01	-5.723472974e-01	8.272494666e+00	4.082199452e-02
34	2.379581050e+00	1.703724805e+00	-6.510457542e-01	1.135131359e-01	-6.121386855e-01	9.103519705e+00	4.082199452e-02
35	2.225616287e+00	1.681997448e+00	-6.362577093e-01	1.135079698e-01	-6.657000682e-01	9.398994106e+00	4.082199452e-02
36	1.396078187e+00	1.658829397e+00	-9.905162961e-01	1.149437746e-01	-5.679708886e-01	7.038022563e+00	4.082199452e-02
37	2.208488213e+00	1.600294923e+00	-5.198388621e-01	1.320243813e-01	-7.048204598e-01	1.018081126e+01	4.082199452e-02
38	2.147488848e+00	1.648296481e+00	-8.450499529e-01	9.473781974e-02	-5.561342396e-01	8.164703654e+00	4.082199452e-02
39	1.130260701e+00	1.710071635e+00	-1.049654790e+00	1.499462174e-01	-6.231905519e-01	7.096309190e+00	4.082199452e-02
40	1.233950406e+00	1.701317664e+00	-9.500955682e-01	1.336291850e-01	-4.847603627e-01	8.323565947e+00	4.082199452e-02
41	1.184398234e+00	1.769692633e+00	-9.564267961e-01	1.434011686e-01	-5.460154625e-01	6.132634330e+00	4.082199452e-02
42	1.696296702e+00	1.657560036e+00	-7.719964072e-01	1.084513533e-01	-5.686282883e-01	7.715585021e+00	4.082199452e-02
43	1.356717912e+00	1.715510865e+00	-7.883030162e-01	1.269554158e-01	-6.884984040e-01	6.535128635e+00	4.082199452e-02
44	1.112984332e+00	1.755145268e+00	-8.606988279e-01	1.292933114e-01	-6.653661891e-01	5.863605406e+00	4.082199452e-02
45	8.390865763e-01	1.734852630e+00	-8.151016943e-01	1.346858226e-01	-7.638107512e-01	4.589868750e+00	4.082199452e-02
46	1.265528022e+00	1.766334715e+00	-9.270654573e-01	1.294947100e-01	-5.701115106e-01	6.580024094e+00	4.082199452e-02
47	1.179129640e+00	1.790026760e+00	-9.583186108e-01	1.305007369e-01	-5.643338592e-01	5.758318348e+00	4.082199452e-02
48	1.501405912e+00	1.738068051e+00	-8.926681616e-01	1.229041206e-01	-5.758167071e-01	7.356718194e+00	4.082199452e-02
49	1.373922475e+00	1.756416649e+00	-9.187189144e-01	1.260311599e-01	-5.690238907e-01	6.975321935e+00	4.082199452e-02
